train_loss,train_acc,val_loss,val_acc
1.8963072960441176,0.35600380187981834,1.0599627710454833,0.6387261146496815
1.0996718559716199,0.6351251452106875,0.794252171385579,0.7350318471337579
0.9543582088238484,0.6801140563945507,0.6920354480181283,0.7663694267515924
0.8854191778479396,0.7097898405322631,0.6306411795984439,0.7864968152866242
0.9221869143279823,0.687929031576724,0.6942620228945724,0.7788535031847134
0.8728242371533368,0.7087337628049425,0.6248661266957841,0.7900636942675159
0.8700638195952853,0.7121132115323687,0.614234153332749,0.7974522292993631
0.8342393145367906,0.7255253986693421,0.6116238146172306,0.7982165605095541
0.8092338740825653,0.7279543774421797,0.5552379229991902,0.8168152866242038
0.757845490365415,0.7481254620340057,0.5216032171818784,0.8287898089171974
