train_loss,train_acc,val_loss,val_acc
0.4801486269445033,0.8660893441757314,0.1479483779805629,0.9498089171974522
0.2100562591206383,0.9328334565424016,0.12610052911398129,0.9602547770700637
0.2027109235122397,0.9356848664061675,0.12979148003755173,0.9589808917197452
0.1705712443469344,0.9455063892702503,0.1402055153687583,0.9569426751592357
0.17338859461046555,0.9445559193156616,0.13293601983504624,0.9605095541401274
0.15007256308721528,0.9528989333614954,0.12765409341470027,0.9605095541401274
0.1575532853603363,0.9499419157249973,0.13179302860521788,0.9584713375796179
0.14388753317699238,0.9511036012250501,0.14037125593192723,0.9556687898089172
0.13738170115126147,0.9563839898616538,0.1320360466412328,0.956687898089172
0.12992853399466825,0.9574400675889746,0.13687724383262542,0.9546496815286625
